"","s_0","s_1","s_2"
"r_0","453391","249612","1551718"
"r_1","453391","249612","1551718"
"r_2","453391","249612","1551718"
"r_3","485145","129011","614156"
"r_4","187987","49990","187987"
"r_5","407359","108326","407359"
"r_6","1211435","322147","1211435"
"r_7","1095152","291225","1095152"
"r_8","187396","49833","187396"
"r_9","450385","119767","450385"
"r_10","403977","252902","665187"
"r_11","403977","252902","665187"
"r_12","403977","252902","665187"
"r_13","403977","252902","665187"
"r_14","403977","252902","665187"
"r_15","1067454","431148","524214"
"r_16","1067454","431148","524214"
"r_17","1067454","431148","524214"
"r_18","279599","48788","134542"
"r_19","279599","48788","134542"
"r_20","279599","48788","134542"
"r_21","520822","272304","1612461"
"r_22","617844","9000000","20000000"
"r_23","564688","148633","681679"
"r_24","564688","148633","681679"
"r_25","564688","148633","681679"
"r_26","1286754","1497672","1747166"
"r_27","1286754","1497672","1747166"
"r_28","1355370","703452","2162118"
"r_29","1355370","703452","2162118"
"r_30","591580","680760","655187"
"r_31","591580","680760","655187"
"r_32","591580","680760","655187"
"r_33","14050396","2995344","11020104"
"r_34","14050396","2995344","11020104"
